"categoria","nombre","uuid","display_openmrs","fuente","score","flag","alternativas"
"osteomuscular","Bursitis","146620AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Bursitis","CATALOGO","100","OK",""
"osteomuscular","Esguince de tobillo","126055AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","esguince de tobillo y pie","OPENMRS","85","OK",""
"osteomuscular","Fascitis plantar","130093AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","fascitis plantar","OPENMRS","100","OK",""
"osteomuscular","Hombro doloroso (síndrome de manguito)","113207AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","síndrome del manguito de los rotadores","OPENMRS","36","REVISAR","síndrome del manguito de los rotadores (113207AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [36] || síndrome del manguito rotador del hombro y trastornos relacionados (113210AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [36] || distocia de hombro (112980AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [30]"
"osteomuscular","Hernia discal lumbar","138714AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","hernia discal","OPENMRS","85","OK",""
"osteomuscular","Osteoporosis","114662AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Osteoporosis","CATALOGO","100","OK",""
"osteomuscular","Fibromialgia","129122AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Fibromialgia","CATALOGO","100","OK",""
"osteomuscular","Epicondilitis","136008AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","epicondilitis lateral","OPENMRS","88","OK","epicondilitis lateral (136008AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88] || epicondilitis del húmero (141162AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88] || Epitrocleítis (115861AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [0]"
"osteomuscular","Síndrome del túnel carpiano","146127AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","síndrome del túnel carpiano","OPENMRS","100","OK",""
"osteomuscular","Artritis séptica","158606AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Artritis séptica de la muñeca","OPENMRS","85","OK",""
"osteomuscular","Lupus eritematoso sistémico","112476AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","lupus eritematoso sistémico","OPENMRS","100","OK",""
"osteomuscular","Escoliosis","137880AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","escoliosis idiopática","OPENMRS","88","OK","escoliosis neuromuscular (152997AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88] || escoliosis adquirida (150000AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88] || escoliosis infantil idiopática resolutiva (127646AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88]"
"urologico","Infección urinaria baja (cistitis)","111633AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","infección urinaria","OPENMRS","85","OK",""
"urologico","Pielonefritis aguda","149554AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Pielonefritis aguda","CATALOGO","100","OK",""
"urologico","Enfermedad renal crónica de causas no tradicionales (nefropatía mesoamericana)","6033AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Enfermedad renal","OPENMRS","85","OK",""
"urologico","Enfermedad renal crónica (general)","120574AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Enfermedad renal cronica","CATALOGO","100","OK",""
"urologico","Litiasis renal (urolitiasis)","116500AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","cálculo renal","OPENMRS","95","OK","hidronefrosis con litiasis obstructiva renal y ureteral (151946AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [60] || litiasis pulmonar (128161AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [30] || litiasis coledociana (144552AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [30]"
"urologico","Cólico renoureteral","127707AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","cólico renal","OPENMRS","30","REVISAR","cólico abdominal (122713AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [30] || cólico apendicular (148507AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [30] || cólico ureteral (123542AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [30]"
"urologico","Hiperplasia prostática benigna","121164AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Hiperplasia prostatica benigna","CATALOGO","100","OK",""
"urologico","Prostatitis","113588AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","prostatitis","CATALOGO","100","OK",""
"urologico","Insuficiencia renal aguda","121852AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","insuficiencia renal aguda posterior al trabajo de parto Y/O parto","OPENMRS","85","OK",""
"urologico","Incontinencia urinaria","156439AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Incontinencia urinaria funcional","OPENMRS","85","OK",""
"urologico","Glomerulonefritis aguda","122041AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","glomerulonefritis aguda","OPENMRS","100","OK",""
"urologico","Síndrome nefrótico","115303AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","síndrome nefrótico","OPENMRS","100","OK",""
"urologico","Vejiga neurogénica","115277AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","vejiga neurogénica","OPENMRS","100","OK",""
"urologico","Cáncer de próstata","128792AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","neoplasia maligna primaria de la próstata","OPENMRS","95","OK","antecedente familiar de cáncer de próstata (118193AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [80] || Historia familiar de cáncer de colon (140531AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [40] || Sospecha de cáncer de cuello de útero (159008AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [40]"
"urologico","Hematuria","840AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Hematuria","OPENMRS","100","OK","Hematuria (840AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [100] || hematuria microscópica (134191AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88] || hematuria macroscópica (139813AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88]"
"urologico","Uretritis","111639AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Uretritis","CATALOGO","100","OK",""
